0:7:12  0:1:27  1  Mash-tun  145.2 F, Target: 145.0 F, Pump off, status 0   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:15  0:1:30  1  Mash-tun  145.2 F, Target: 145.0 F, Pump off, status 0   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:18  0:1:33  1  Mash-tun  145.3 F, Target: 145.0 F, Pump off, status 0   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:21  0:1:36  1  Mash-tun  145.3 F, Target: 145.0 F, Pump off, status 0   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:24  0:1:39  1  Mash-tun  145.4 F, Target: 145.0 F, Pump off, status 0   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:27  0:1:42  1  Mash-tun  145.4 F, Target: 145.0 F, Pump off, status 0   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:30  0:1:45  1  Mash-tun  145.4 F, Target: 145.0 F, Pump off, status 0   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:33  0:1:48  1  Mash-tun  145.4 F, Target: 145.0 F, Pump off, status 0   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:36  0:1:51  1  Mash-tun  145.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:39  0:1:54  1  Mash-tun  145.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:42  0:1:57  1  Mash-tun  145.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:45  0:2:0  1  Mash-tun  145.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:48  0:2:3  1  Mash-tun  145.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.2 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:51  0:2:6  1  Mash-tun  145.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.2 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:54  0:2:9  1  Mash-tun  145.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.2 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:57  0:2:12  1  Mash-tun  145.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.2 F, Target: 155.0 F, Heat on, status 1 mix 0

0:8:0  0:2:15  1  Mash-tun  145.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:8:3  0:2:18  1  Mash-tun  145.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.3 F, Target: 155.0 F, Heat on, status 1 mix 0

Cycling - turning off the burner.

0:8:6  0:2:21  1  Mash-tun  145.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:8:9  0:2:24  1  Mash-tun  145.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:8:12  0:2:27  1  Mash-tun  145.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:8:15  0:2:30  1  Mash-tun  145.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:8:18  0:2:33  1  Mash-tun  145.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status -1 mix 0

0:8:21  0:2:36  1  Mash-tun  145.9 F, Target: 145.0 F, Pump off, status 0   HLT  154.9 F, Target: 155.0 F, Heat off, status -1 mix 0

0:8:24  0:2:39  1  Mash-tun  145.9 F, Target: 145.0 F, Pump off, status 0   HLT  154.9 F, Target: 155.0 F, Heat off, status -1 mix 1

0:8:27  0:2:42  1  Mash-tun  145.9 F, Target: 145.0 F, Pump off, status 0   HLT  154.9 F, Target: 155.0 F, Heat off, status -1 mix 0

